PLUIDM|PLUIGR|DESKRIPSI|SALDO_AWAL|BPB_QTY|BPBR_QTY|MPP_QTY|ADJP_QTY|DSPB_QTY|MPN_QTY|ADJM_QTY|SALDO_AKHIR
20067359|1529280|"SUNSILK SHAMPOO HIJAB REFRESH BTL 170mL"|-1368|0|0|0|0|126|0|0|-1494
20067449|1529310|"GLOW & LOVELY MULTIVITAMIN FACIAL FOAM 39484  TUB 100g"|1140|552|0|0|0|258|0|0|1434
20067961|1529420|"LIFEBUOY SABUN MANDI TS (46094) MILD CARE BAR 110g"|1486|576|0|0|0|194|0|0|1868
20067962|1529450|"LIFEBUOY SABUN MANDI TS (46093) TOTAL 10 BAR 110g"|3080|0|0|0|0|232|0|0|2848
20067963|1529460|"LIFEBUOY SABUN MANDI TS MULTIPACK 05966 MILD CARE BDD 4x60g"|-59|0|0|0|0|140|0|0|-199
20067964|1529470|"LIFEBUOY SABUN MANDI TS MULTIPACK 06105 TOTAL 10 BDD 4x60g"|1332|0|0|0|0|20|0|0|1312
20071828|1529490|"RINSO DETERJEN POWDER + MOLTO ROSE FRESH BAG 1.8Kg"|116|0|0|0|0|6|0|0|110
20072673|1529610|"ZWITSAL BABY BATH NATURAL 2 IN 1 HAIR & BODY BTL 300mL"|-278|0|0|0|0|50|0|0|-328
20072834|1529800|"PONDS PELEMBAB WAJAH AGE MIRACLE NEW DAY CREAM POT 10g"|43|0|0|0|0|76|0|0|-33
20072835|1529810|"PONDS PELEMBAB WAJAH AGE MIRACLE NEW NIGHT CREAM POT 10g"|-200|0|0|0|0|31|0|0|-231
20041399|1531880|"LIFEBUOY SABUN MANDI CAIR REFILL LEMON FRESH PCH 450/400mL"|-10|264|0|0|0|376|0|0|-122
20041400|1531890|"LIFEBUOY BODY WASH (48091) LEMON FRESH BTL 100mL"|-1488|108|0|0|0|146|0|0|-1526
